Sequence,Group,Gate RMSD mean (A),Gate RMSD SD (A),Latch RMSD mean (A),Latch RMSD SD (A),N frames,Gate RMSD early100 mean (A),Gate RMSD late100 mean (A),Gate drift100 (A),Gate slope (A/ns),Latch RMSD early100 mean (A),Latch RMSD late100 mean (A),Latch drift100 (A),Latch slope (A/ns)
pair_1939_nb,False Positive,2.1934,0.6184,1.753,0.7034,12267,2.5518,1.5618,-0.99,-0.001951,1.0605,2.4227,1.3622,0.003511
pair_0822_nb,False Positive,1.2126,0.4281,1.8897,0.6598,12267,1.3368,0.9885,-0.3483,-0.000667,1.5721,1.6735,0.1014,0.000303
pair_0865_nb,False Positive,2.2781,1.3161,1.6192,0.5268,12267,1.2543,4.1712,2.9168,0.007471,1.102,1.9802,0.8782,0.002839
pair_0867_nb,False Positive,5.2125,1.667,3.2989,0.7438,12267,3.5361,5.2323,1.6961,0.00469,2.3141,3.5719,1.2578,0.00332
pair_1860_nb,False Positive,2.0185,0.6879,1.0976,0.2964,12267,2.5059,1.5681,-0.9378,-0.002076,1.0954,1.1736,0.0782,0.000123
pair_1965_nb,False Positive,3.9732,0.7165,2.2064,0.5089,12267,3.8107,4.3654,0.5546,0.001685,1.7681,2.7219,0.9538,0.002542
pair_0341_nb,False Positive,1.3299,0.5708,3.4517,0.6586,12267,1.2946,1.6166,0.322,0.000946,3.3988,3.3593,-0.0396,-0.000721
pair_0450_nb,False Positive,3.5009,0.726,2.4589,0.3423,12267,2.7698,3.4724,0.7025,0.001043,2.2835,2.548,0.2645,0.000502
pair_0549_nb,False Positive,2.8404,0.7941,3.291,0.8597,12267,1.8228,2.8271,1.0044,0.002547,2.252,4.5107,2.2587,0.005422
pair_0567_nb,False Positive,1.954,0.6411,2.1904,0.7875,12267,2.1697,2.1544,-0.0153,9.8e-05,1.6772,2.1486,0.4714,0.002507
pair_0584_nb,False Positive,2.454,0.5596,2.1952,0.7875,12267,2.694,2.1945,-0.4995,-0.001621,1.986,2.107,0.1211,-8.8e-05
pair_0602_nb,False Positive,2.3867,0.844,2.8278,1.0617,12267,2.4757,1.7314,-0.7443,-0.002844,2.9891,2.4429,-0.5462,-0.003361
pair_0684_nb,False Positive,2.0491,0.5787,1.8693,0.4098,12267,1.9172,2.193,0.2759,0.00066,1.9288,1.8598,-0.0689,-9.8e-05
pair_0736_nb,False Positive,1.3362,0.425,1.9407,0.8941,12267,1.242,1.4436,0.2016,0.000504,1.5752,1.3219,-0.2532,-0.000664
pair_0748_nb,False Positive,2.9721,0.9235,3.2346,0.6435,12267,2.7197,1.8989,-0.8208,-0.001608,3.4878,2.6613,-0.8264,-0.001652
pair_0765_nb,False Positive,2.4134,0.3734,1.7836,0.3954,12267,2.5127,2.1982,-0.3145,-0.000917,1.6281,2.0219,0.3938,0.001026
pair_0776_nb,False Positive,2.0017,0.5441,2.6523,0.6065,12267,2.3252,1.8967,-0.4285,-0.00106,2.6903,2.7175,0.0271,0.000578
pair_0782_nb,False Positive,2.0186,0.8128,3.8482,1.1286,12267,1.5572,2.1465,0.5893,0.002208,3.2563,3.6728,0.4165,4e-06
pair_0811_nb,False Positive,1.8117,0.6122,2.3803,0.8544,12267,1.8453,2.3676,0.5223,0.001623,2.7757,1.5282,-1.2475,-0.002648
pair_0868_nb,False Positive,1.2415,0.3015,1.329,0.199,12267,1.3293,1.1486,-0.1808,-0.000358,1.3509,1.3411,-0.0097,5.2e-05
pair_0876_nb,False Positive,2.0167,0.7088,3.2861,1.1141,12267,1.8018,2.6026,0.8008,0.001448,2.9549,3.4815,0.5266,0.001113
pair_0878_nb,False Positive,3.2905,0.6395,1.7362,0.5633,12267,2.9553,3.1126,0.1572,0.000613,1.9105,1.6174,-0.2931,-0.001272
pair_0883_nb,False Positive,3.2273,1.2869,3.856,1.1963,12267,1.8262,4.8232,2.997,0.008005,2.0408,5.0198,2.979,0.007229
pair_0891_nb,False Positive,3.0791,1.2837,3.3104,1.0546,12267,4.8991,2.5683,-2.3308,-0.006619,2.1674,4.4396,2.2722,0.006594
pair_0908_nb,False Positive,2.4377,0.299,3.6047,0.3498,12267,2.519,2.4938,-0.0252,3.9e-05,3.6645,3.459,-0.2054,-0.00029
pair_0932_nb,False Positive,1.942,0.6517,1.9496,0.5323,12267,1.8975,2.2477,0.3502,0.001264,2.3644,1.9582,-0.4062,-0.000999
pair_0940_nb,False Positive,1.7077,0.4595,2.8905,0.6101,12267,1.8986,1.6859,-0.2128,-0.000695,3.0244,2.3473,-0.6771,-0.00194
pair_0974_nb,False Positive,3.7658,0.8231,2.4371,1.0751,12267,3.6914,2.9599,-0.7315,-0.001464,4.1201,2.0111,-2.109,-0.005336
pair_0977_nb,False Positive,3.1175,0.6447,4.0596,0.8712,12267,2.941,2.893,-0.048,2.2e-05,3.3884,3.7969,0.4085,0.0013
pair_1011_nb,False Positive,1.2902,0.3617,1.2813,0.2641,12267,1.2045,1.2657,0.0612,-9.4e-05,1.3136,1.3487,0.0351,0.000259
pair_1023_nb,False Positive,1.5567,0.4469,3.228,0.7697,12267,1.4516,1.7396,0.288,0.001159,4.0998,2.7124,-1.3874,-0.003673
pair_1102_nb,False Positive,3.9207,1.2043,3.9083,0.6582,12267,2.595,4.7174,2.1223,0.006806,3.4493,4.141,0.6917,0.00149
pair_1313_nb,False Positive,1.7716,0.5428,1.4272,0.357,12267,1.985,1.5299,-0.4551,-0.001916,1.3886,1.5496,0.161,0.00016
pair_1397_nb,False Positive,1.896,0.4958,1.6892,0.5396,12267,1.5673,1.8929,0.3256,0.000851,2.2607,1.5463,-0.7144,-0.001972
pair_1654_nb,False Positive,1.2624,0.4035,1.6783,0.3842,12267,1.0377,1.3352,0.2975,0.00075,1.8186,1.6654,-0.1531,-0.000505
pair_1656_nb,False Positive,1.5956,0.5202,1.6456,0.3984,12267,1.7989,1.9709,0.172,-0.000118,1.4433,1.7463,0.303,0.000975
pair_1658_nb,False Positive,1.6299,0.6171,1.6116,0.5312,12267,1.9983,1.5883,-0.4101,-0.001401,2.0431,1.1493,-0.8938,-0.00241
pair_1671_nb,False Positive,2.057,0.6241,3.2105,1.1371,12267,2.0104,2.3887,0.3783,0.000212,1.5218,3.3107,1.7889,0.004685
pair_1679_nb,False Positive,2.2512,0.7137,3.8971,0.6576,12267,2.3533,2.3148,-0.0385,4.6e-05,3.6346,4.0171,0.3824,0.000852
pair_1709_nb,False Positive,1.2307,0.3786,3.1645,1.0588,12267,1.2636,1.2917,0.0281,-4.5e-05,1.906,3.0908,1.1848,0.002997
pair_1710_nb,False Positive,2.6108,0.6502,1.7368,0.5105,12267,2.263,2.6854,0.4224,0.00075,1.4341,2.1923,0.7583,0.002314
pair_1737_nb,False Positive,2.0397,0.5311,1.6211,0.3829,12267,1.5097,2.2676,0.758,0.002157,1.4325,1.5408,0.1084,0.000338
pair_1758_nb,False Positive,1.9981,0.6811,1.6292,0.4347,12267,2.5799,1.6302,-0.9496,-0.003045,1.4936,1.7422,0.2486,0.001121
pair_1784_nb,False Positive,2.1361,0.5326,4.0521,1.745,12267,2.093,2.4558,0.3628,0.000989,1.787,5.6835,3.8965,0.011759
pair_1785_nb,False Positive,1.7022,0.5634,1.6129,0.4247,12267,1.4316,1.5328,0.1012,0.000495,1.6603,1.829,0.1687,0.000847
pair_1792_nb,False Positive,2.8312,0.8911,2.5178,0.6224,12267,2.8,2.9358,0.1359,-0.000637,3.0826,2.3033,-0.7793,-0.001712
pair_1835_nb,False Positive,1.4893,0.3745,3.8256,0.7514,12267,1.4308,1.669,0.2382,0.000729,4.215,2.9537,-1.2613,-0.00293
pair_1847_nb,False Positive,1.9706,0.9469,3.679,0.8775,12267,2.9067,2.6233,-0.2834,-0.001384,2.4888,3.7952,1.3064,0.003066
pair_1914_nb,False Positive,2.604,0.6455,1.5374,0.3077,12267,2.199,2.9169,0.7179,0.001485,1.4893,1.4671,-0.0222,0.000118
pair_1922_nb,False Positive,2.0739,0.4192,2.5771,0.3052,12267,2.0227,1.9917,-0.031,-0.000452,2.6337,2.4711,-0.1626,-0.000558
pair_1938_nb,False Positive,2.4579,0.3017,1.5762,0.2666,12267,2.4019,2.5761,0.1742,0.00062,1.6712,1.4655,-0.2057,-0.000444
pair_1961_nb,False Positive,1.8087,0.4868,2.9814,0.9185,12267,1.6735,1.9201,0.2466,0.000874,1.9716,3.1311,1.1595,0.003747
pair_0008_low_pkt,Low Confidence,2.6332,0.567,2.7101,0.3358,12267,2.0507,3.0714,1.0207,0.002647,2.6543,2.6945,0.0402,0.000164
pair_0393_low_pkt,Low Confidence,1.9547,0.4623,3.3976,0.6224,12267,2.0764,2.1729,0.0965,0.000141,2.5117,3.9105,1.3988,0.003798
pair_0482_low_pkt,Low Confidence,1.6114,0.6702,4.252,0.9359,12267,2.3123,1.4096,-0.9027,-0.001946,3.5706,3.8677,0.2971,0.000723
pair_1331_low_pkt,Low Confidence,2.8767,1.2161,6.1158,1.4788,12267,1.3246,4.0276,2.703,0.007806,4.3708,6.963,2.5922,0.007894
pair_1931_low_pkt,Low Confidence,1.8732,0.511,4.967,0.5095,12267,2.29,1.7853,-0.5047,-0.00126,5.2035,5.0526,-0.1509,-0.00017
pair_0065_low_pkt,Low Confidence,2.3559,0.6998,1.6684,0.474,12267,1.5771,2.5915,1.0144,0.002727,1.5078,1.8116,0.3038,0.000779
pair_0947_low_pkt,Low Confidence,2.2869,0.6532,1.5405,0.4518,12267,1.5849,2.5626,0.9776,0.002837,1.9648,1.2653,-0.6995,-0.001897
pair_0948_low_pkt,Low Confidence,1.7262,0.4784,3.2931,0.927,12267,1.8487,1.708,-0.1407,2e-06,2.4603,4.3151,1.8547,0.005572
pair_1413_low_pkt,Low Confidence,1.9584,0.706,4.9623,1.1556,12267,2.103,2.1252,0.0222,0.000486,3.8063,5.5218,1.7155,0.005339
pair_0715_fail_gate,Fail Geometry,2.7292,0.4652,2.6776,0.6102,12267,2.6857,2.75,0.0643,2e-05,2.422,2.6685,0.2465,0.001018
pair_1094_fail_gate,Fail Geometry,2.7507,1.2686,1.9432,0.4506,12267,2.0222,4.2714,2.2492,0.005846,1.6744,2.0906,0.4162,0.0012
pair_1682_fail_gate,Fail Geometry,3.1172,1.2031,2.1173,0.3985,12267,1.7861,4.0711,2.285,0.006596,2.1039,2.0191,-0.0848,-8e-06
pair_1739_fail_gate,Fail Geometry,3.4622,0.616,1.8341,0.4192,12267,3.4723,3.5392,0.0669,0.001045,2.0437,1.4823,-0.5614,-0.001478
pair_1941_fail_gate,Fail Geometry,2.6021,0.5724,1.4103,0.4115,12267,2.7059,2.9363,0.2305,0.000114,1.1279,1.6621,0.5342,0.001642
pair_0014_fail_gate,Fail Geometry,3.934,0.9381,3.3292,1.0623,12267,2.5587,4.3732,1.8144,0.004628,1.8057,4.4264,2.6207,0.006875
pair_0263_fail_gate,Fail Geometry,2.3307,0.5609,3.4137,0.7571,12267,2.0975,2.5125,0.415,0.000897,2.7757,3.5606,0.7849,0.002159
pair_0540_fail_gate,Fail Geometry,2.1618,0.3485,1.9276,0.3738,12267,1.9125,2.1889,0.2764,0.000529,1.6195,1.9021,0.2827,0.000602
pair_0997_fail_gate,Fail Geometry,1.8437,0.5877,2.8572,1.2652,12267,1.7848,1.7142,-0.0706,-0.000403,1.1959,3.6792,2.4833,0.007389
pair_1745_fail_gate,Fail Geometry,1.482,0.5183,1.2147,0.3523,12267,1.306,2.1466,0.8406,0.001996,1.2033,1.3315,0.1282,0.000184
bind_019_binder,Binder,1.8225,0.6536,1.7908,0.6635,12267,1.9437,1.4613,-0.4824,-0.001543,1.7255,1.9151,0.1896,0.001544
bind_020_binder,Binder,1.6324,0.5566,3.0622,0.7181,12267,1.6678,1.3832,-0.2847,-0.000668,2.798,3.1168,0.3188,0.001353
bind_022_binder,Binder,2.5479,1.319,2.175,0.6171,12267,1.6266,3.8072,2.1806,0.006014,2.6344,1.9056,-0.7288,-0.002406
bind_034_binder,Binder,1.7269,0.4696,1.1681,0.6236,12267,1.4397,1.9002,0.4605,0.000961,2.0005,1.0203,-0.9802,-0.002328
bind_041_binder,Binder,1.5344,0.7877,2.665,0.838,12267,2.5849,1.1061,-1.4788,-0.003445,2.3629,2.5085,0.1456,3.3e-05
bind_043_binder,Binder,1.3704,0.4514,1.2309,0.298,12267,1.0634,1.4625,0.399,0.001054,1.1988,1.1445,-0.0543,-0.000259
bind_069_binder,Binder,1.5788,0.5285,2.4077,0.7203,12267,1.3598,1.7349,0.3751,0.001304,1.9069,2.7926,0.8857,0.002419
bind_076_binder,Binder,2.5479,0.8453,3.1476,0.819,12267,3.8555,2.0707,-1.7848,-0.004195,3.4559,2.5544,-0.9016,-0.00123
bind_080_binder,Binder,1.5061,0.3774,1.6382,0.4226,12267,1.4897,1.6152,0.1255,0.000276,1.5016,1.9669,0.4652,0.001111
bind_083_binder,Binder,1.6332,0.6579,2.1846,1.1323,12267,1.8825,1.2528,-0.6297,-0.001157,1.5966,1.7417,0.1451,0.002294
bind_088_binder,Binder,2.5273,0.7336,3.4426,0.8976,12267,3.0713,1.6073,-1.4641,-0.003395,3.0927,2.5099,-0.5828,-0.000526
bind_099_binder,Binder,1.8172,0.529,1.2593,0.3137,12267,2.0714,1.8983,-0.1731,-0.000225,1.3054,1.26,-0.0454,0.000251
bind_100_binder,Binder,2.5434,1.1246,1.8092,0.7255,12267,2.3882,3.8914,1.5032,0.004806,2.8388,1.7595,-1.0793,-0.00221
bind_101_binder,Binder,2.1367,0.6997,2.3717,0.8415,12267,1.9777,2.6691,0.6914,0.001864,1.9961,1.767,-0.2291,-0.001684
bind_102_binder,Binder,6.1823,1.6469,3.1508,0.5006,12267,6.0243,4.6593,-1.3649,-0.003614,3.0605,3.0063,-0.0542,-8.5e-05
bind_110_binder,Binder,2.0861,0.6784,2.2866,0.4756,12267,2.128,2.3465,0.2186,0.00053,2.0447,2.2637,0.219,0.000917
pair_3061_binder,Binder,1.389,0.4589,2.3145,0.3804,12267,1.682,1.1622,-0.5198,-0.001708,2.1069,2.3512,0.2443,0.000498
nonb_006_nb,False Positive,1.7458,0.6908,1.7645,0.4707,12267,1.6043,1.7272,0.1229,0.000723,1.6068,2.1326,0.5258,0.001101
nonb_008_nb,False Positive,1.5826,0.4379,1.2672,0.3446,12267,1.4698,1.7789,0.3092,0.000927,1.1146,1.4143,0.2996,0.000879
nonb_009_nb,False Positive,3.5504,0.6896,2.8166,0.6301,12267,3.0361,3.7572,0.7211,0.002464,2.454,2.812,0.3581,0.001261
nonb_010_nb,False Positive,1.4845,0.4453,2.4354,0.6915,12267,1.6913,1.2582,-0.4332,-0.001118,2.4666,2.0639,-0.4027,-0.002066
nonb_011_nb,False Positive,2.0211,0.6598,2.9339,1.1869,12267,2.3942,1.7912,-0.603,-0.001701,1.9103,4.2886,2.3783,0.007071
nonb_013_nb,False Positive,2.3697,0.5341,3.4819,0.4748,12267,2.8061,2.2258,-0.5803,-0.001738,3.5052,3.6628,0.1576,0.000933
nonb_014_nb,False Positive,3.0501,0.6595,1.7692,0.3361,12267,2.6637,3.3096,0.6459,0.001416,1.9242,1.5156,-0.4086,-0.001237
nonb_017_nb,False Positive,1.3892,0.3982,2.4134,0.4715,12267,1.2409,1.3988,0.1578,0.000191,2.2564,2.5594,0.303,0.000239
nonb_018_nb,False Positive,2.1169,1.1536,2.0129,0.4967,12267,1.8913,1.0752,-0.8161,-0.002426,1.7165,2.3048,0.5883,0.001309
nonb_019_nb,False Positive,2.8005,0.5283,2.3122,0.4911,12267,3.0405,2.5706,-0.4698,-0.001246,2.7802,2.1181,-0.6621,-0.001754
nonb_021_nb,False Positive,1.7804,0.8306,1.8505,0.4984,12267,1.8212,2.4873,0.6661,0.001706,1.9706,1.6918,-0.2788,-0.00102
nonb_022_nb,False Positive,2.2781,1.1035,2.1434,0.9594,12267,1.4154,2.7344,1.319,0.003868,1.0035,2.921,1.9175,0.005966
nonb_023_nb,False Positive,2.8697,0.6063,3.4092,0.633,12267,2.472,3.0067,0.5347,0.001497,2.6918,3.6211,0.9293,0.002345
nonb_024_nb,False Positive,1.1521,0.3165,3.739,0.9248,12267,1.2895,1.0703,-0.2192,-0.000457,2.6186,4.4859,1.8673,0.00519
nonb_025_nb,False Positive,6.891,0.9868,3.9343,0.8038,12267,6.424,6.0854,-0.3386,-0.001688,3.2764,4.9963,1.7199,0.003947
nonb_026_nb,False Positive,2.0576,0.7659,2.7658,0.5882,12267,2.3689,1.3911,-0.9778,-0.002256,2.8011,2.9139,0.1129,0.000828
nonb_029_nb,False Positive,1.8762,0.5826,3.1218,0.5073,12267,2.0722,1.9018,-0.1704,-0.000354,3.2064,3.1941,-0.0123,-3.3e-05
nonb_032_nb,False Positive,3.4858,0.6469,3.3172,1.0746,12267,3.2193,3.5941,0.3748,0.000883,1.6788,3.4795,1.8007,0.004829
nonb_046_nb,False Positive,2.0334,0.7143,1.9308,1.0065,12267,1.61,2.5596,0.9496,0.001938,1.3203,3.5092,2.1889,0.004963
nonb_047_nb,False Positive,3.1823,1.1149,1.5648,0.6928,12267,1.6852,3.4949,1.8097,0.004918,1.2181,1.7924,0.5743,0.002339
nonb_048_nb,False Positive,3.989,1.8073,2.9927,0.6814,12267,2.2097,5.7591,3.5494,0.010515,2.8236,2.6282,-0.1955,-0.000538
nonb_049_nb,False Positive,2.4075,0.7149,1.9117,0.3102,12267,1.5489,2.7469,1.1981,0.003383,1.7148,1.9256,0.2107,0.000533
nonb_050_nb,False Positive,4.887,0.948,2.5334,0.4909,12267,4.3185,5.5011,1.1826,0.002431,1.8977,2.9001,1.0024,0.002407
nonb_051_nb,False Positive,1.7543,0.5027,2.3173,0.5989,12267,1.3519,1.9582,0.6063,0.001721,2.106,2.8521,0.7461,0.001691
nonb_052_nb,False Positive,1.217,0.436,2.4074,0.4118,12267,1.6298,1.1329,-0.4969,-0.000919,2.0798,2.5493,0.4696,0.001001
nonb_053_nb,False Positive,1.4105,0.3735,2.5262,0.8656,12267,1.4248,1.5033,0.0785,0.000127,3.1955,2.1818,-1.0136,-0.002939
nonb_054_nb,False Positive,2.7178,0.4674,3.1331,0.4603,12267,3.3137,2.5833,-0.7304,-0.001823,3.362,3.2133,-0.1487,-0.000127
nonb_056_nb,False Positive,2.7763,0.9906,3.8618,1.2589,12267,3.3418,2.9941,-0.3477,-0.001445,4.8826,3.3521,-1.5305,-0.005774
nonb_066_nb,False Positive,2.066,0.5597,1.9583,0.5819,12267,2.3457,1.6495,-0.6962,-0.002169,2.6213,1.5947,-1.0266,-0.003
